Date ,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Date 
19/1/2025,-9.8,-15.7,62,9,25,100.83,19/1/2025
19/1/2025,-9,-14.8,63,13,25,100.83,19/1/2025
19/1/2025,-9.9,-15.7,63,7,25,100.85,19/1/2025
19/1/2025,-9.4,-15.5,61,9,25,100.83,19/1/2025
19/1/2025,-9.6,-16.8,56,13,25,100.81,19/1/2025
19/1/2025,-10,-17.3,55,17,25,100.81,19/1/2025
19/1/2025,-10.5,-16.5,61,9,25,100.84,19/1/2025
19/1/2025,-10.6,-16,64,0,9.7,100.76,19/1/2025
19/1/2025,-11.3,-16.1,68,15,3.2,100.7,19/1/2025
19/1/2025,-11.8,-16,71,19,2.8,100.61,19/1/2025
19/1/2025,-12,-16.2,71,22,4.8,100.58,19/1/2025
19/1/2025,-14.4,-16.3,85,22,2.4,100.52,19/1/2025
19/1/2025,-12.3,-16.2,73,24,11.3,100.51,19/1/2025
19/1/2025,-12.5,-16.7,71,26,19.3,100.53,19/1/2025
19/1/2025,-12.3,-16.3,72,28,16.1,100.47,19/1/2025
19/1/2025,-12,-16,72,17,24.1,100.36,19/1/2025
19/1/2025,-11.7,-15.4,74,28,19.3,100.23,19/1/2025
19/1/2025,-11.9,-15.6,74,20,24.1,100.13,19/1/2025
19/1/2025,-11.2,-14.8,75,19,19.3,100.07,19/1/2025
19/1/2025,-11.5,-14.4,79,19,12.9,100.06,19/1/2025
19/1/2025,-11.6,-14.7,78,19,19.3,100.1,19/1/2025
19/1/2025,-11.2,-14.3,78,17,25,100.15,19/1/2025
19/1/2025,-10.5,-13.6,78,17,19.3,100.12,19/1/2025
19/1/2025,-10.5,-13.4,79,15,25,100.13,19/1/2025
19/1/2025,-10.2,-13,80,11,25,100.15,19/1/2025
19/1/2025,-9.5,-12.5,79,9,25,100.13,19/1/2025
19/1/2025,-9.3,-12.2,79,11,19.3,100.16,19/1/2025
19/1/2025,-9,-12,79,7,16.1,100.15,19/1/2025
19/1/2025,-8.7,-11.7,79,6,16.1,100.13,19/1/2025
19/1/2025,-8.5,-11.4,80,0,19.3,100.11,19/1/2025
19/1/2025,-8.1,-11.1,79,4,19.3,100.15,19/1/2025
19/1/2025,-7.8,-10.8,79,4,19.3,100.12,19/1/2025
19/1/2025,-7.5,-10.5,79,6,19.3,100.1,19/1/2025
19/1/2025,-6.9,-9.7,80,4,19.3,100.12,19/1/2025
19/1/2025,-6.7,-9.5,80,7,16.1,100.12,19/1/2025
19/1/2025,-7,-9.7,81,7,16.1,100.16,19/1/2025
19/1/2025,-6.4,-9,82,9,8,100.1,19/1/2025
19/1/2025,-6.1,-8.7,82,7,9.7,100.15,19/1/2025
19/1/2025,-5.7,-8,84,7,8,100.13,19/1/2025
19/1/2025,-5.4,-7.7,84,9,9.7,100.08,19/1/2025
19/1/2025,-5.5,-7.8,84,13,9.7,100.05,19/1/2025
19/1/2025,-4.8,-7.2,83,15,9.7,100.07,19/1/2025
19/1/2025,-4.4,-6.9,83,6,8,100.09,19/1/2025
19/1/2025,-3.7,-6.1,83,11,8,100.09,19/1/2025
19/1/2025,-3.6,-5.9,84,0,8,100.15,19/1/2025
19/1/2025,-3.1,-5.4,84,13,8,100.27,19/1/2025
19/1/2025,-3.2,-5.3,85,6,9.7,100.33,19/1/2025
19/1/2025,-3,-5,86,6,8,100.41,19/1/2025
19/1/2025,-1.8,-3.7,87,4,9.7,100.48,19/1/2025
19/1/2025,-1.3,-3.1,88,0,6.4,100.5,19/1/2025
19/1/2025,-1.5,-3,89,4,4,100.54,19/1/2025
19/1/2025,0.4,-1.5,87,22,9.7,100.62,19/1/2025
19/1/2025,0.6,-3.2,76,32,25,100.72,19/1/2025
19/1/2025,-0.6,-4.6,74,32,25,100.8,19/1/2025
19/1/2025,-1.7,-6.2,71,30,25,100.98,19/1/2025
19/1/2025,-3.5,-8.3,69,32,25,101.13,19/1/2025
19/1/2025,-4.4,-9.2,69,22,25,101.21,19/1/2025
19/1/2025,-5.9,-10.5,70,13,25,101.33,19/1/2025
19/1/2025,-5.8,-10.8,68,13,25,101.47,19/1/2025
19/1/2025,-5.6,-10.3,69,11,25,101.59,19/1/2025
19/1/2025,-5.9,-10.7,69,11,24.1,101.7,19/1/2025
19/1/2025,-6.4,-11.9,65,17,24.1,101.81,19/1/2025
19/1/2025,-6.5,-11.6,67,17,9.7,101.89,19/1/2025
19/1/2025,-7.1,-12.6,65,22,24.1,101.92,19/1/2025
19/1/2025,-6.7,-11.9,66,15,24.1,101.9,19/1/2025
19/1/2025,-6.5,-12.4,63,15,24.1,101.94,19/1/2025
19/1/2025,-6.5,-12,65,19,24.1,101.97,19/1/2025
19/1/2025,-6.6,-12.9,61,20,48.3,102.04,19/1/2025
19/1/2025,-6.6,-13.3,59,20,24.1,102.09,19/1/2025
19/1/2025,-7.2,-13.8,59,17,25,102.17,19/1/2025
19/1/2025,-8.1,-14.1,62,17,25,102.23,19/1/2025
19/1/2025,-8,-13.9,62,15,25,102.26,19/1/2025
19/1/2025,-8.3,-13.7,65,15,25,102.28,19/1/2025
19/1/2025,-8.3,-13.9,64,11,25,102.26,19/1/2025
19/1/2025,-8.7,-14,65,7,25,102.22,19/1/2025
19/1/2025,-9,-13.9,68,7,25,102.22,19/1/2025
19/1/2025,-9.2,-14.3,66,6,25,102.17,19/1/2025
19/1/2025,-9.8,-14.5,68,0,25,102.13,19/1/2025
19/1/2025,-9,-14.1,66,4,25,102.15,19/1/2025
19/1/2025,-8.8,-13.2,70,0,25,102.11,19/1/2025
19/1/2025,-8.5,-13.2,69,9,25,102.02,19/1/2025
19/1/2025,-8.4,-12.7,71,11,25,101.93,19/1/2025
19/1/2025,-7.7,-11.9,72,11,25,101.86,19/1/2025
19/1/2025,-6.8,-11,72,15,25,101.8,19/1/2025
19/1/2025,-5.9,-10.5,70,13,16.1,101.74,19/1/2025
19/1/2025,-5.4,-9.2,75,11,12.9,101.68,19/1/2025
19/1/2025,-4.8,-8.3,76,9,16.1,101.64,19/1/2025
19/1/2025,-3.7,-7.2,77,7,24.1,101.54,19/1/2025
19/1/2025,-2.5,-6.6,73,9,24.1,101.4,19/1/2025
19/1/2025,-1.7,-5.8,74,7,24.1,101.27,19/1/2025
19/1/2025,-1.4,-5.1,76,7,24.1,101.2,19/1/2025
19/1/2025,-1,-5.1,74,9,24.1,101.13,19/1/2025
19/1/2025,-1.3,-5.7,72,11,24.1,101.05,19/1/2025
19/1/2025,-1.4,-5.8,72,15,24.1,100.96,19/1/2025
19/1/2025,-1,-5.6,71,20,25,100.9,19/1/2025
19/1/2025,-1.1,-5.8,70,19,25,100.83,19/1/2025
19/1/2025,-1.5,-6.2,70,15,25,100.77,19/1/2025
19/1/2025,-1.7,-6.3,71,11,25,100.64,19/1/2025
19/1/2025,-0.3,-6.3,64,19,25,100.54,19/1/2025
19/1/2025,-0.2,-6.1,64,17,25,100.45,19/1/2025
19/1/2025,2.5,-5.2,57,30,25,100.38,19/1/2025
19/1/2025,2.3,-3.4,66,35,25,100.28,19/1/2025
19/1/2025,1.4,-2.5,75,19,6.4,100.23,19/1/2025
19/1/2025,1.6,-2,77,28,25,100.16,19/1/2025
19/1/2025,1.2,-1.7,81,26,25,100.07,19/1/2025
19/1/2025,0.8,-1.2,86,30,9.7,100.02,19/1/2025
19/1/2025,0.7,-1.2,87,30,8,100.04,19/1/2025
19/1/2025,1.5,-0.7,85,20,8,100.08,19/1/2025
19/1/2025,1.2,-1.1,85,24,16.1,100.11,19/1/2025
19/1/2025,1.6,-0.8,84,17,19.3,100.23,19/1/2025
19/1/2025,2,-0.9,81,24,24.1,100.27,19/1/2025
19/1/2025,2.6,-1.1,77,22,24.1,100.29,19/1/2025
19/1/2025,1.4,-3.1,72,30,24.1,100.32,19/1/2025
19/1/2025,0.7,-5.4,64,26,24.1,100.36,19/1/2025
19/1/2025,-0.2,-6.2,64,26,24.1,100.45,19/1/2025
19/1/2025,-1.4,-7.9,61,30,24.1,100.65,19/1/2025
19/1/2025,-3.1,-10.9,55,30,24.1,100.81,19/1/2025
19/1/2025,-4,-12,54,17,24.1,100.91,19/1/2025
19/1/2025,-4.9,-12.7,54,15,25,101.04,19/1/2025
19/1/2025,-5.7,-13.8,53,15,25,101.15,19/1/2025
19/1/2025,-6.4,-14.3,53,13,25,101.24,19/1/2025
19/1/2025,-6.6,-13.6,57,9,25,101.32,19/1/2025
19/1/2025,-7.3,-14.7,55,13,25,101.34,19/1/2025
19/1/2025,-8.6,-15.6,57,19,25,101.44,19/1/2025
19/1/2025,-9.5,-16.8,55,17,25,101.43,19/1/2025
19/1/2025,-10.7,-17.8,56,17,25,101.49,19/1/2025
19/1/2025,-12,-18.9,56,19,25,101.57,19/1/2025
19/1/2025,-12.7,-19.4,57,19,25,101.64,19/1/2025
19/1/2025,-13.4,-20.1,57,17,25,101.66,19/1/2025
19/1/2025,-13.9,-21,55,19,25,101.66,19/1/2025
19/1/2025,-14.4,-21.1,57,20,25,101.72,19/1/2025
19/1/2025,-14.4,-21,57,13,25,101.77,19/1/2025
19/1/2025,-14.7,-21.4,57,15,24.1,101.8,19/1/2025
19/1/2025,-14.3,-20.8,58,15,24.1,101.81,19/1/2025
19/1/2025,-13.9,-20.9,55,11,19.3,101.89,19/1/2025
19/1/2025,-13.4,-20.8,54,15,24.1,101.78,19/1/2025
19/1/2025,-12.7,-20.4,53,17,24.1,101.68,19/1/2025
19/1/2025,-12.2,-20,52,19,24.1,101.63,19/1/2025
19/1/2025,-11.4,-19.4,52,20,24.1,101.56,19/1/2025
19/1/2025,-11.6,-19.9,50,20,24.1,101.61,19/1/2025
19/1/2025,-11.8,-20.9,47,20,24.1,101.6,19/1/2025
19/1/2025,-11.9,-20.1,51,26,24.1,101.56,19/1/2025
19/1/2025,-12,-19.9,52,24,25,101.51,19/1/2025
19/1/2025,-11.8,-19.2,54,30,25,101.43,19/1/2025
19/1/2025,-11.2,-18.1,57,24,25,101.4,19/1/2025
19/1/2025,-11.2,-16.5,65,19,25,101.32,19/1/2025
19/1/2025,-10.8,-16,65,22,25,101.29,19/1/2025
19/1/2025,-10.7,-15.7,67,20,25,101.19,19/1/2025
19/1/2025,-10,-15.2,66,19,25,101.17,19/1/2025
19/1/2025,-9.8,-15.2,65,24,25,101.13,19/1/2025
19/1/2025,-9.4,-15,64,26,25,101.08,19/1/2025
19/1/2025,-9,-14.7,63,33,25,101.02,19/1/2025
19/1/2025,-8.5,-14.1,64,22,25,100.93,19/1/2025
19/1/2025,-8,-13.7,64,30,25,100.81,19/1/2025
19/1/2025,-7.6,-13.1,65,28,25,100.76,19/1/2025
19/1/2025,-7.3,-12.7,65,28,16.1,100.69,19/1/2025
19/1/2025,-7.1,-11.3,72,33,6.4,100.61,19/1/2025
19/1/2025,-6.8,-10.5,75,33,3.2,100.54,19/1/2025
19/1/2025,-6.2,-9.6,77,35,4.8,100.46,19/1/2025
19/1/2025,-6,-9.5,76,32,2,100.35,19/1/2025
19/1/2025,-5.8,-8.9,79,32,4.8,100.22,19/1/2025
19/1/2025,-5.8,-8.6,81,33,1.2,100.09,19/1/2025
19/1/2025,-5.7,-8.5,81,28,1.2,99.97,19/1/2025
19/1/2025,-5.2,-7.6,83,26,0.8,99.9,19/1/2025
19/1/2025,-4.9,-7.3,83,33,0.6,99.88,19/1/2025
19/1/2025,-5.1,-7.6,83,33,1,99.83,19/1/2025
19/1/2025,-5.4,-8.1,81,35,1.2,99.76,19/1/2025
19/1/2025,-5,-7.6,82,30,4,99.72,19/1/2025
19/1/2025,-5,-7.8,81,28,6.4,99.64,19/1/2025
19/1/2025,-4.7,-7.6,80,24,6.4,99.56,19/1/2025
19/1/2025,-4.1,-6.8,81,26,25,99.47,19/1/2025
19/1/2025,-4.6,-7,83,28,3.2,99.4,19/1/2025
19/1/2025,-5.1,-7.5,83,28,2.4,99.3,19/1/2025
19/1/2025,-5,-7.7,81,24,4.8,99.24,19/1/2025
19/1/2025,-4.8,-7.5,81,22,25,99.22,19/1/2025
19/1/2025,-4.5,-6.9,83,19,4.8,99.19,19/1/2025
19/1/2025,-5,-7.4,83,24,11.3,99.13,19/1/2025
19/1/2025,-5.1,-7.7,82,20,12.9,99.06,19/1/2025
19/1/2025,-5.4,-7.8,83,22,16.1,98.94,19/1/2025
19/1/2025,-5.1,-7.7,82,22,16.1,98.84,19/1/2025
19/1/2025,-5.1,-7.5,83,26,8,98.69,19/1/2025
19/1/2025,-5,-7.3,84,32,4.8,98.56,19/1/2025
19/1/2025,-4.8,-7.2,83,26,12.9,98.44,19/1/2025
19/1/2025,-4.8,-7.3,83,28,9.7,98.22,19/1/2025
19/1/2025,-4.8,-7.5,81,24,2,98.07,19/1/2025
19/1/2025,-4.9,-7.3,83,20,1.2,97.99,19/1/2025
19/1/2025,-4.8,-7,85,6,2,98.07,19/1/2025
19/1/2025,-4.3,-6.5,85,13,8,98.1,19/1/2025
19/1/2025,-3.7,-6,84,11,6.4,98.16,19/1/2025
19/1/2025,-2.9,-4.8,87,15,1.6,98.23,19/1/2025
19/1/2025,-1.7,-3.3,89,26,16.1,98.32,19/1/2025
19/1/2025,-2.5,-4.5,86,33,2,98.6,19/1/2025
19/1/2025,-3.2,-5.1,87,32,2,98.89,19/1/2025
19/1/2025,-4.8,-7.9,79,37,4.8,99.09,19/1/2025
19/1/2025,-5.5,-10.1,70,32,12.9,99.28,19/1/2025
19/1/2025,-7.6,-11.2,75,35,9.7,99.51,19/1/2025
19/1/2025,-8.9,-13.1,72,39,9.7,99.67,19/1/2025
19/1/2025,-9.7,-14.3,69,24,12.9,99.85,19/1/2025
19/1/2025,-11.2,-15.5,70,28,9.7,100.01,19/1/2025
19/1/2025,-12,-16.2,71,24,8,100.16,19/1/2025
19/1/2025,-13.4,-18.9,63,20,16.1,100.26,19/1/2025
19/1/2025,-14.3,-19.8,63,24,25,100.39,19/1/2025
19/1/2025,-15.2,-20.6,63,24,25,100.6,19/1/2025
19/1/2025,-16.8,-22.2,63,26,25,100.73,19/1/2025
19/1/2025,-17.9,-23.5,62,20,24.1,100.84,19/1/2025
19/1/2025,-18,-23.6,61,19,24.1,100.97,19/1/2025
19/1/2025,-18,-23.9,60,22,24.1,101.08,19/1/2025
19/1/2025,-17.8,-23.9,59,20,24.1,101.14,19/1/2025
19/1/2025,-17.5,-23.8,58,20,48.3,101.16,19/1/2025
19/1/2025,-17.1,-24.1,55,17,48.3,101.18,19/1/2025
19/1/2025,-16.7,-23.4,56,17,48.3,101.2,19/1/2025
19/1/2025,-16.7,-23.4,56,22,48.3,101.24,19/1/2025
19/1/2025,-16.7,-24.3,52,19,24.1,101.3,19/1/2025
19/1/2025,-17.4,-24.4,54,13,25,101.36,19/1/2025
19/1/2025,-17.7,-24.3,56,20,25,101.46,19/1/2025
19/1/2025,-18.3,-24.4,59,17,25,101.56,19/1/2025
19/1/2025,-19.6,-25.8,58,13,25,101.62,19/1/2025
19/1/2025,-20,-25.9,59,11,25,101.65,19/1/2025
19/1/2025,-19.9,-26,58,13,25,101.74,19/1/2025
19/1/2025,-20.3,-26.2,59,9,25,101.79,19/1/2025
19/1/2025,-21.2,-26.8,61,11,25,101.81,19/1/2025
19/1/2025,-21.1,-26.6,61,9,25,101.86,19/1/2025
19/1/2025,-21.4,-26.6,63,9,25,101.99,19/1/2025
19/1/2025,-20.7,-26.1,62,4,25,102.04,19/1/2025
19/1/2025,-21,-26.6,61,0,25,102.12,19/1/2025
19/1/2025,-21.3,-26.5,63,6,25,102.19,19/1/2025
19/1/2025,-23.2,-28.5,62,7,25,102.28,19/1/2025
19/1/2025,-22.8,-28,62,9,25,102.37,19/1/2025
19/1/2025,-23.3,-28.5,62,7,24.1,102.45,19/1/2025
19/1/2025,-22.2,-27.8,60,9,48.3,102.57,19/1/2025
19/1/2025,-20.6,-26.8,58,9,48.3,102.66,19/1/2025
19/1/2025,-19.3,-26.1,55,9,48.3,102.68,19/1/2025
19/1/2025,-18,-25.5,52,13,48.3,102.67,19/1/2025
19/1/2025,-16.8,-24.2,53,20,48.3,102.65,19/1/2025
19/1/2025,-16,-23.4,53,26,48.3,102.66,19/1/2025
19/1/2025,-15.4,-22.8,53,24,48.3,102.71,19/1/2025
19/1/2025,-15.1,-22.8,52,24,48.3,102.79,19/1/2025
19/1/2025,-16.2,-23.2,55,15,25,102.85,19/1/2025
19/1/2025,-16.3,-22.9,57,17,25,102.89,19/1/2025
19/1/2025,-16.3,-22.7,58,20,25,102.94,19/1/2025
19/1/2025,-16.7,-22.4,61,17,25,102.98,19/1/2025
19/1/2025,-16.9,-22.2,63,15,25,103.02,19/1/2025
19/1/2025,-16.9,-21.7,66,17,25,103.07,19/1/2025
19/1/2025,-16.9,-21.4,68,15,25,103.09,19/1/2025
19/1/2025,-17.1,-21.9,66,15,25,103.09,19/1/2025
19/1/2025,-17.8,-22.7,65,6,25,103.05,19/1/2025
19/1/2025,-18.5,-23,68,6,25,103.08,19/1/2025
19/1/2025,-19.2,-23.8,67,6,25,103.07,19/1/2025
19/1/2025,-18.7,-23.5,66,0,25,103.05,19/1/2025
19/1/2025,-19.1,-23.3,69,0,25,103.02,19/1/2025
19/1/2025,-18.7,-23.2,68,0,25,103.01,19/1/2025
19/1/2025,-17.9,-21.5,73,4,48.3,102.96,19/1/2025
19/1/2025,-17.9,-22.6,67,9,48.3,102.9,19/1/2025
19/1/2025,-14.4,-20.7,59,22,48.3,102.75,19/1/2025
19/1/2025,-13.6,-18.7,65,19,48.3,102.62,19/1/2025
19/1/2025,-12.7,-17.7,66,20,48.3,102.44,19/1/2025
19/1/2025,-10.7,-16.9,60,19,48.3,102.17,19/1/2025
19/1/2025,-10.1,-16.1,61,13,48.3,101.92,19/1/2025
19/1/2025,-9,-13.8,68,13,48.3,101.71,19/1/2025
19/1/2025,-8,-13.8,63,17,48.3,101.49,19/1/2025
19/1/2025,-7.1,-14.1,57,9,48.3,101.41,19/1/2025
19/1/2025,-7.6,-14.8,56,4,25,101.34,19/1/2025
19/1/2025,-12.5,-17.5,66,15,25,101.31,19/1/2025
19/1/2025,-14.8,-19.1,70,15,25,101.23,19/1/2025
19/1/2025,-14,-18.3,70,13,25,101.19,19/1/2025
19/1/2025,-12.9,-17.1,71,11,25,101.12,19/1/2025
19/1/2025,-12.2,-16.5,70,9,25,101.05,19/1/2025
19/1/2025,-11.5,-15.7,71,7,25,100.98,19/1/2025
19/1/2025,-10.8,-15,71,9,25,100.94,19/1/2025
19/1/2025,-10.4,-14.6,71,9,25,100.88,19/1/2025
19/1/2025,-9.7,-13.7,73,9,25,100.84,19/1/2025
19/1/2025,-9.2,-13.2,73,6,25,100.84,19/1/2025
19/1/2025,-9,-12.2,78,6,6.4,100.8,19/1/2025
19/1/2025,-8.3,-10.4,85,6,3.6,100.75,19/1/2025
19/1/2025,-7.7,-9.9,84,6,2.4,100.72,19/1/2025
19/1/2025,-7.5,-9.6,85,9,2,100.69,19/1/2025
19/1/2025,-7.4,-9.6,84,9,2.4,100.65,19/1/2025
19/1/2025,-7,-9.5,82,15,4,100.59,19/1/2025
19/1/2025,-6.5,-9,82,15,1.2,100.6,19/1/2025
19/1/2025,-6.1,-8.5,83,15,2.4,100.53,19/1/2025
19/1/2025,-5.3,-7.9,82,19,2.8,100.38,19/1/2025
19/1/2025,-5.1,-7.7,82,22,2.4,100.23,19/1/2025
19/1/2025,-4.3,-6.5,85,22,1.6,100.05,19/1/2025
19/1/2025,-3.7,-6,84,24,1.2,99.9,19/1/2025
19/1/2025,-3.5,-6,83,28,1.2,99.69,19/1/2025
19/1/2025,-3.6,-5.9,84,22,1.6,99.57,19/1/2025
